"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"49","Wednesday 27th January 2021 19:22","https://sullygnome.com/channel/hasanabi/stream/41480998798","667","22884103","34309","51714","3192","283","218267","18812","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Mario Kart 8|Mario_Kart_8|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Tuesday 26th January 2021 18:57","https://sullygnome.com/channel/hasanabi/stream/41467318894","767","22467731","29293","47082","2631","202","215521","16210","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Monday 25th January 2021 19:06","https://sullygnome.com/channel/hasanabi/stream/41453471374","608","20908512","34389","46891","2359","230","210716","20557","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Saturday 23rd January 2021 18:52","https://sullygnome.com/channel/hasanabi/stream/41428049518","487","11009609","22607","35636","1112","134","147923","17930","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Resident Evil Village|Resident_Evil_Village|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%20Village-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"53","Friday 22nd January 2021 19:02","https://sullygnome.com/channel/hasanabi/stream/41414054094","537","18112473","33729","43890","1723","191","173662","19295","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"54","Thursday 21st January 2021 19:01","https://sullygnome.com/channel/hasanabi/stream/41401730126","628","22830312","36354","51757","2276","216","216585","20145","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"55","Wednesday 20th January 2021 16:00","https://sullygnome.com/channel/hasanabi/stream/41388083982","764","51302600","67150","128468","7183","563","425903","32757","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"56","Tuesday 19th January 2021 19:44","https://sullygnome.com/channel/hasanabi/stream/41377356750","735","19711965","26819","56053","3247","265","229867","18355","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"57","Monday 18th January 2021 20:03","https://sullygnome.com/channel/hasanabi/stream/41365417326","716","16113580","22505","46272","2377","198","186751","15143","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"58","Sunday 17th January 2021 21:47","https://sullygnome.com/channel/hasanabi/stream/41353847230","702","12012624","17112","30358","2457","209","156516","13320","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"59","Saturday 16th January 2021 19:35","https://sullygnome.com/channel/hasanabi/stream/41338601982","685","13293110","19406","36824","1615","140","167399","14556","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"60","Friday 15th January 2021 20:01","https://sullygnome.com/channel/hasanabi/stream/41324632926","718","16402710","22845","40389","2372","197","202730","16493","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"61","Thursday 14th January 2021 19:34","https://sullygnome.com/channel/hasanabi/stream/41312010334","565","15635810","27674","51292","2159","227","211522","22265","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"62","Wednesday 13th January 2021 19:47","https://sullygnome.com/channel/hasanabi/stream/41300068990","807","27680100","34300","80385","8034","595","312672","23160","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"63","Tuesday 12th January 2021 19:27","https://sullygnome.com/channel/hasanabi/stream/41287910638","782","20504822","26221","53411","6237","470","267750","19987","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"64","Monday 11th January 2021 19:53","https://sullygnome.com/channel/hasanabi/stream/41277193358","816","26682384","32699","68773","7317","532","310833","22208","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"65","Sunday 10th January 2021 19:12","https://sullygnome.com/channel/hasanabi/stream/41266132206","782","13637298","17439","34939","4450","335","233568","17211","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"66","Saturday 9th January 2021 21:44","https://sullygnome.com/channel/hasanabi/stream/41255245598","345","8236185","23873","42044","2269","394","149232","25953","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"67","Friday 8th January 2021 19:02","https://sullygnome.com/channel/hasanabi/stream/41240838078","642","23040096","35888","63508","5196","483","275976","25672","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"68","Thursday 7th January 2021 19:34","https://sullygnome.com/channel/hasanabi/stream/41229287742","655","29706870","45354","89415","8483","771","392237","35233","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"69","Wednesday 6th January 2021 17:57","https://sullygnome.com/channel/hasanabi/stream/41217110782","872","116219288","133279","223056","51337","3480","1055879","70835","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"70","Tuesday 5th January 2021 19:13","https://sullygnome.com/channel/hasanabi/stream/41205915966","811","38756068","47788","70389","5489","399","302298","21553","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"71","Monday 4th January 2021 19:38","https://sullygnome.com/channel/hasanabi/stream/41194505662","591","14171589","23979","32764","2763","276","182350","18235","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"72","Saturday 2nd January 2021 19:00","https://sullygnome.com/channel/hasanabi/stream/41170959054","419","6375923","15217","19359","1532","218","121333","16305","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"73","Friday 1st January 2021 20:30","https://sullygnome.com/channel/hasanabi/stream/41159943006","450","6795900","15102","20358","1575","203","105517","13615","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"74","Thursday 31st December 2020 19:10","https://sullygnome.com/channel/hasanabi/stream/41147964286","604","9205564","15241","18657","1998","194","147168","14156","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"75","Wednesday 30th December 2020 19:14","https://sullygnome.com/channel/hasanabi/stream/41135423774","600","10249800","17083","24997","2843","284","172029","16951","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"76","Tuesday 29th December 2020 19:01","https://sullygnome.com/channel/hasanabi/stream/41122843422","703","15170740","21580","28465","2990","254","182581","15272","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"77","Monday 28th December 2020 18:52","https://sullygnome.com/channel/hasanabi/stream/41110306334","622","12466124","20042","25590","1247","118","105970","9839","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"78","Sunday 27th December 2020 19:10","https://sullygnome.com/channel/hasanabi/stream/41098461102","589","13418598","22782","27539","2303","230","120685","11690","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"79","Saturday 26th December 2020 19:26","https://sullygnome.com/channel/hasanabi/stream/41086601886","708","11382516","16077","23434","921","76","106048","8739","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Bugsnax|Bugsnax|https://static-cdn.jtvnw.net/ttv-boxart/Bugsnax-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"80","Friday 25th December 2020 20:59","https://sullygnome.com/channel/hasanabi/stream/41076679486","585","10083645","17237","24159","1076","110","104090","10382","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"81","Thursday 24th December 2020 18:52","https://sullygnome.com/channel/hasanabi/stream/41066603470","427","8466983","19829","22935","-2396","-330","79212","10518","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"82","Wednesday 23rd December 2020 18:53","https://sullygnome.com/channel/hasanabi/stream/41055726622","636","13277772","20877","27014","1196","111","114841","10346","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Bugsnax|Bugsnax|https://static-cdn.jtvnw.net/ttv-boxart/Bugsnax-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"83","Tuesday 22nd December 2020 19:14","https://sullygnome.com/channel/hasanabi/stream/41044618926","600","12451200","20752","27102","1128","112","109378","10573","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"84","Monday 21st December 2020 19:10","https://sullygnome.com/channel/hasanabi/stream/41033286398","604","12035304","19926","25654","1187","115","111102","10449","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Call of Duty: Black Ops Cold War|Call_of_Duty_2020|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Black%20Ops%20Cold%20War-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"85","Sunday 20th December 2020 19:11","https://sullygnome.com/channel/hasanabi/stream/41022315806","633","11497812","18164","21338","1321","122","112434","10202","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"86","Saturday 19th December 2020 18:54","https://sullygnome.com/channel/hasanabi/stream/41010818638","665","10005590","15046","23878","1894","168","134892","11642","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Spellbreak|Spellbreak|https://static-cdn.jtvnw.net/ttv-boxart/Spellbreak-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Back 4 Blood|Back_4_Blood|https://static-cdn.jtvnw.net/ttv-boxart/Back%204%20Blood-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"87","Friday 18th December 2020 19:36","https://sullygnome.com/channel/hasanabi/stream/40999035886","593","7864959","13263","16433","1573","157","113242","10911","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Back 4 Blood|Back_4_Blood|https://static-cdn.jtvnw.net/ttv-boxart/Back%204%20Blood-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"88","Thursday 17th December 2020 19:02","https://sullygnome.com/channel/hasanabi/stream/40987796030","672","12291552","18291","22767","1430","127","113634","10100","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"89","Wednesday 16th December 2020 18:55","https://sullygnome.com/channel/hasanabi/stream/40976634206","709","12330928","17392","22843","3769","314","130824","10604","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|THE GAME OF LIFE 2|THE_GaME_oF_LIFE_2|https://static-cdn.jtvnw.net/ttv-boxart/THE%20GAME%20OF%20LIFE%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"90","Tuesday 15th December 2020 19:21","https://sullygnome.com/channel/hasanabi/stream/40965922270","503","8246182","16394","24733","1039","122","92774","10455","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Spellbreak|Spellbreak|https://static-cdn.jtvnw.net/ttv-boxart/Spellbreak-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"91","Monday 14th December 2020 18:54","https://sullygnome.com/channel/hasanabi/stream/40955168254","800","14780800","18476","28795","2215","164","144469","10450","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"92","Sunday 13th December 2020 19:34","https://sullygnome.com/channel/hasanabi/stream/40943778286","730","13095470","17939","26122","1727","146","115338","9594","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"93","Saturday 12th December 2020 18:57","https://sullygnome.com/channel/hasanabi/stream/40930249486","707","6683978","9454","12697","1410","120","99363","8193","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"94","Friday 11th December 2020 18:59","https://sullygnome.com/channel/hasanabi/stream/40916360670","495","5822190","11762","19196","761","92","77346","8819","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"95","Thursday 10th December 2020 18:44","https://sullygnome.com/channel/hasanabi/stream/40901555326","780","8673600","11120","17027","1735","133","131118","9764","Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Special Events|Special_Events|https://static-cdn.jtvnw.net/ttv-boxart/Special%20Events-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"96","Thursday 10th December 2020 17:55","https://sullygnome.com/channel/hasanabi/stream/40901174718","34","168436","4954","7882","50","66","14910","5257","Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"97","Wednesday 9th December 2020 17:54","https://sullygnome.com/channel/hasanabi/stream/40885705230","651","10895787","16737","22570","1435","130","167646","15044","Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"98","Tuesday 8th December 2020 20:55","https://sullygnome.com/channel/hasanabi/stream/40873096366","679","11310782","16658","24647","1032","89","114485","9722","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sleeping Dogs|Sleeping_Dogs|https://static-cdn.jtvnw.net/ttv-boxart/Sleeping%20Dogs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"99","Monday 7th December 2020 19:08","https://sullygnome.com/channel/hasanabi/stream/40858478686","531","11332602","21342","29556","1193","132","113954","11559","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sleeping Dogs|Sleeping_Dogs|https://static-cdn.jtvnw.net/ttv-boxart/Sleeping%20Dogs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"100","Sunday 6th December 2020 19:18","https://sullygnome.com/channel/hasanabi/stream/40845341054","491","10687597","21767","30490","968","117","103052","12029","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sleeping Dogs|Sleeping_Dogs|https://static-cdn.jtvnw.net/ttv-boxart/Sleeping%20Dogs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"